cluster_size mean_count mean_radius
1.000000000000000000e+00 7.059019999999999584e+01 0.000000000000000000e+00
2.000000000000000000e+00 2.680000000000000090e-02 5.000000000000000000e-01
3.000000000000000000e+00 5.599999999999999943e-03 6.720177350331331123e-01
4.000000000000000000e+00 4.799999999999999580e-03 8.563313606598940142e-01
5.000000000000000000e+00 1.799999999999999951e-03 1.036577649277790725e+00
6.000000000000000000e+00 5.999999999999999474e-04 1.258305739211791563e+00
7.000000000000000000e+00 4.000000000000000192e-04 1.413550148129357975e+00
8.000000000000000000e+00 4.000000000000000192e-04 1.599707947959971843e+00
